Cruise:METAVAR:TEXT:20,Station:METAVAR:TEXT:20,yyyy-mm-dd hh:mm,Latitude [degrees_north]:METAVAR:DOUBLE,Longitude [degrees_east]:METAVAR:DOUBLE,Pressure [dbar]:DOUBLE,Bottle,Sal11,Potemp190C,Sigma-é11,Sbeox0Mm/Kg,T190C,C1mS/cm,Sbeox0V,DFe nM,SD DFe nM
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,31.255,20,35.2207,28.6105,22.3595,194.806,28.618,57.215017,2.6272,0.939,0.015
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,45.28,19,35.6567,25.5807,23.6593,204.204,25.5907,54.602282,2.6246,0.54,0.024
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,49.161,19,35.3821,26.4728,23.1731,201.095,26.484,55.177119,2.6179,0.99,0.014
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,49.395,19,35.313,26.7436,23.0352,202.743,26.7549,55.368957,2.6442,0.482,0.0021
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,49.764,19,35.6354,25.6124,23.6334,203.973,25.6234,54.610111,2.6216,0.45,0.001
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,49.777,20,35.6231,26.6151,23.3098,198.563,26.6264,55.663038,2.5996,0.3,0.0144
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,49.976,20,35.6832,26.1503,23.5018,202.716,26.1615,55.249201,2.629,0.16,0.008
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,50.006,19,35.5977,26.1331,23.4427,201.942,26.1443,55.113509,2.62,0.94,0.051
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,50.037,19,35.4603,25.6651,23.4848,206.015,25.6762,54.427871,2.6452,0.5,0.0054
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,50.086,19,35.6765,23.7814,24.2184,206.739,23.7919,52.724124,2.5874,1.16,0.031
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,50.449,19,35.6788,25.2723,23.771,206.175,25.2834,54.307538,2.6347,0.245,0.007
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,50.474,19,35.6594,26.2128,23.4642,203.798,26.2241,55.283674,2.644,0.501,0.002
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,50.508,19,35.6026,24.4071,23.9761,195.304,24.4179,53.287814,2.4911,0.53,0.002
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,50.549,22,35.3657,26.2475,23.2318,196.975,26.2589,54.916273,2.5668,0.497,0.01
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,50.709,19,35.5193,26.6098,23.2332,201.476,26.6213,55.514101,2.6284,0.25,0.006
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,50.729,18,35.7055,27.4533,23.1033,194.629,27.4651,56.677893,2.5867,0.344,0.002
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,69.23,17,35.5006,25.2626,23.6393,199.4,25.2777,54.068634,2.5559,0.24,0.005
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,69.395,16,35.6743,23.4337,24.3189,201.4,23.4481,52.367277,2.5176,0.65,0.042
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,69.6,17,35.4241,25.6875,23.4505,196.33,25.7029,54.415179,2.5387,0.37,0.001
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,70.243,17,35.6762,23.0916,24.42,182.324,23.1061,52.010144,2.3136,0.5,0.005
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,70.259,17,35.7101,24.5737,24.0073,199.505,24.5888,53.620426,2.5358,0.452,0.01
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,70.327,17,35.6854,22.9717,24.4617,177.369,22.9861,51.896044,2.2605,0.54,0.042
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,70.382,17,35.731,24.2073,24.1331,206.458,24.2223,53.259863,2.5962,0.761,0.025
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,70.538,17,35.641,24.8572,23.8692,203.4,24.8725,53.829064,2.5841,11.32,0.6
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,70.573,17,35.6428,24.4062,24.0068,200.085,24.4212,53.353537,2.5365,2.88,0.01
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,71.274,17,35.6571,24.4966,23.9904,203.026,24.5119,53.468702,2.5703,0.22,0.003
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,79.543,17,35.6408,23.3685,24.3127,196.811,23.3849,52.26157,2.47,0.31,0.006
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,79.874,17,35.7689,26.1714,23.5598,199.487,26.1894,55.409714,2.5885,0.31,0.003
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,80.188,19,35.7432,24.4417,24.0721,194.13,24.4589,53.531078,2.4765,0.39,0.045
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,80.779,17,35.9053,25.5946,23.8427,194.712,25.6124,54.978663,2.5214,0.37,0.009
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,80.816,21,35.4598,25.4454,23.5523,189.189,25.4632,54.214774,2.453,0.515,0.008
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,88.724,15,35.6679,22.8871,24.4728,188.206,22.9052,51.796457,2.3627,0.42,0.006
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,98.435,13,35.6028,23.9728,24.1059,186.237,23.9936,52.861001,2.3738,0.26,0.003
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,98.505,13,35.6826,22.5364,24.5846,186.221,22.5563,51.453644,2.3293,0.72,0.005
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,99.164,13,35.6877,22.6216,24.5641,211.044,22.6417,51.549876,2.576,63,3
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,99.507,13,35.5616,24.5478,23.9027,183.044,24.5691,53.414199,2.3595,0.85,0.002
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,99.721,18,35.7577,23.8159,24.2697,191.018,23.8368,52.899902,2.4173,0.71,0.014
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,99.863,16,35.8078,24.9271,23.9741,197.716,24.9488,54.146665,2.5222,0.32,0.022
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,100.405,13,35.7075,22.1728,24.7068,191.032,22.1929,51.105517,2.3644,1.01,0.005
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,100.61,13,35.6998,21.9355,24.7678,192.57,21.9554,50.847422,2.3716,0.41,0.005
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,100.691,13,35.6672,22.9116,24.4653,182.968,22.9322,51.829125,2.3082,0.21,0
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,100.819,13,35.7012,22.7303,24.5432,180.997,22.7508,51.682509,2.2885,0.476,0.019
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,100.894,16,35.8979,24.6761,24.1185,192.379,24.6979,54.000321,2.4635,0.28,0.002
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,101.043,18,35.7294,23.5413,24.3292,196.614,23.5624,52.57343,2.4657,0.17,0.002
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,111.316,13,35.6528,23.5826,24.259,193.698,23.6058,52.523551,2.4322,0.31,0.05
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,120.194,13,35.6535,22.9245,24.4511,190.08,22.9491,51.837641,2.375,5.17,0.05
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,148.659,11,35.7201,23.171,24.4303,164.606,23.2017,52.201898,2.126,0.208,0.002
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,149.08,17,35.7547,22.4247,24.6713,173.552,22.4548,51.461511,2.1926,0.38,0.019
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,149.665,11,35.6967,21.1762,24.9762,181.27,21.2052,50.082599,2.2283,0.53,0.004
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,149.716,11,35.6573,20.6773,25.0821,182.747,20.7058,49.514961,2.2265,0.64,0.002
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,149.725,11,35.6963,21.0274,25.0166,189.594,21.0562,49.927031,2.3041,0.24,0.006
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,149.864,11,35.6827,21.5839,24.853,178.311,21.6133,50.490214,2.2119,0.39,0.002
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,150.136,11,35.6892,20.8999,25.046,187.311,20.9286,49.78593,2.276,0.78,0.038
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,150.191,11,35.6598,22.8812,24.4684,185.03,22.9119,51.819824,2.3173,0.26,0.006
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,150.219,11,35.675,22.1101,24.6998,176.255,22.1401,51.030625,2.2077,0.16,0.01
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,150.317,11,35.6895,22.5665,24.5813,168.815,22.5969,51.527601,2.1495,0.37,0.003
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,150.35,11,35.6832,21.1127,24.9833,180.51,21.1417,50.000058,2.2198,0.358,0.016
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,150.594,11,35.8515,23.0144,24.5754,183.85,23.0453,52.208134,2.3117,0.31,0.01
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,150.956,17,35.8832,22.4059,24.7742,172.965,22.4363,51.607263,2.1851,0.24,0.006
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,151.152,11,36.0941,23.3894,24.6503,163.732,23.4208,52.921131,2.1253,0.47,0.04
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,151.782,11,35.6812,20.869,25.0483,191.641,20.898,49.744923,2.3175,12.1,0.4
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,198.25,10,35.7141,20.7399,25.1084,160.099,20.7777,49.68103,2.0059,0.36,0
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,199.066,10,35.6607,20.3952,25.1606,173.113,20.4328,49.258009,2.1178,0.46,0.005
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,199.076,10,35.7103,21.3858,24.9288,161.558,21.4247,50.349746,2.0365,0.623,0.008
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,199.233,18,35.7686,21.5724,24.9215,155.23,21.6115,50.617931,1.9825,0.511,0.005
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,199.73,10,35.6446,20.0547,25.239,174.84,20.0919,48.886171,2.1239,0.62,0.011
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,200.003,16,35.7774,21.095,25.0599,168.768,21.1336,50.130691,2.0984,0.3,0.005
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,200.053,10,35.58,19.1637,25.4225,179.378,19.1998,47.89038,2.1382,0.59,0.04
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,200.133,10,35.6512,19.8855,25.2888,175.217,19.9226,48.719754,2.1235,0.26,0.012
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,200.24,10,35.6671,20.8791,25.0348,170.522,20.9175,49.768908,2.108,1.17,0.15
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,200.447,10,35.6609,19.6422,25.3601,182.987,19.679,48.480405,2.1869,0.56,0.04
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,200.647,9,36.0343,22.0961,24.9769,157.723,22.1362,51.505226,2.0234,0.4,0.015
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,200.703,10,35.6325,20.1647,25.2007,187.322,20.2022,48.985808,2.2425,0.329,0.011
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,200.772,9,35.8891,21.4532,25.0463,162.37,21.4924,50.645537,2.0489,0.27,0.008
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,200.911,16,35.8263,20.9098,25.1478,165.911,20.9483,49.998823,2.0656,0.35,0.005
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,201.14,10,35.6484,19.5908,25.364,180.384,19.6276,48.412748,2.1621,66.2,5.9
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,202.95,10,35.6644,21.2409,24.9338,183.42,21.2803,50.143624,2.2405,0.33,0.007
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,248.092,8,35.4998,18.2863,25.5837,161.58,18.3297,46.927324,1.9436,0.56,0.007
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,248.597,8,35.5695,19.0175,25.4521,170.874,19.0621,47.758009,2.0474,0.44,0.001
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,249.275,8,35.5958,19.3282,25.3922,178.314,19.3735,48.109176,2.1267,4.8,0.56
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,249.705,8,35.4674,17.7384,25.6945,177.018,17.7811,46.333169,2.0625,0.63,0.008
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,250.069,8,35.605,19.4742,25.3613,163.789,19.5198,48.270932,1.9963,0.42,0.003
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,250.247,8,35.6296,19.9093,25.2661,180.548,19.9558,48.749574,2.162,0.42,0.001
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,250.359,8,35.5784,18.9098,25.4864,174.387,18.9546,47.65938,2.0753,0.6,0.007
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,250.412,8,35.6386,19.3265,25.4253,162.829,19.372,48.159542,1.9828,0.49,0.003
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,250.687,8,35.5972,18.4474,25.618,183.021,18.4915,47.20839,2.1394,0.63,0.098
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,250.753,8,35.5885,18.84,25.5119,174.419,18.8848,47.6,2.0713,1.25,0.041
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,250.961,8,35.7323,19.768,25.3817,156.938,19.8143,48.728716,1.9417,0.25,0.012
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,251.29,15,35.6054,19.045,25.4725,163.404,19.0902,47.830931,1.9793,0.16,0.003
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,251.36,16,35.642,19.6212,25.3512,152.636,19.6674,48.467914,1.8974,0.494,0.04
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,251.428,8,35.5086,18.1216,25.6315,180.352,18.1653,46.771933,2.1046,1.1,0.006
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,251.941,8,35.5564,18.28,25.6287,178.939,18.3241,46.98997,2.0977,5.5,0.4
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,297.2,7,35.5476,18.5003,25.5667,173.059,18.5527,47.232596,2.0426,1.38,0.007
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,297.402,7,35.3741,16.9654,25.8097,168.164,17.0148,45.472626,1.9543,0.39,0.005
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,299.619,7,35.4351,17.4341,25.7439,172.193,17.4848,46.017682,2.0033,0.43,0.011
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,299.782,7,35.4088,17.2102,25.7778,174.55,17.2605,45.760988,2.0158,0.87,0.033
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,300.481,7,35.4335,16.7642,25.9031,178.377,16.8137,45.339653,2.0362,1.6,0.34
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,300.498,14,35.3246,16.9763,25.7691,155.495,17.0262,45.428646,1.8448,0.81,0.006
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,300.62,7,35.4618,17.1383,25.8357,177.35,17.1886,45.749781,2.0375,1.17,0.063
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,300.672,7,35.2925,15.905,25.9944,177.643,15.9528,44.318174,2.0019,1.08,0.014
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,300.902,7,35.3725,16.3999,25.9417,174.295,16.4487,44.903954,1.9908,0.82,0.002
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,301.017,7,35.3293,17.0355,25.7586,161.427,17.0856,45.493915,1.8979,0.27,0.011
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,301.08,7,35.4543,17.0835,25.8431,176.086,17.1338,45.686067,2.0276,0.59,0.009
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,301.23,7,35.4571,17.0956,25.8423,190.408,17.1459,45.701608,2.1506,0.474,0.023
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,301.495,15,35.4498,17.7787,25.6711,156.565,17.8304,46.385228,1.8762,0.477,0.011
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,301.61,14,35.3238,16.8877,25.7896,170.264,16.9376,45.33921,1.9677,0.427,0
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,301.794,7,35.4948,18.1047,25.6251,168.659,18.1572,46.76952,1.9923,0.44,0.003
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,349.226,5,35.4522,17.0349,25.8531,177.581,17.0932,45.663736,2.029,0.42,0.004
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,349.448,5,35.3475,16.048,26.004,176.947,16.104,44.552205,1.9942,0.44,0.01
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,349.891,5,35.3071,15.8234,26.0243,178.069,15.8789,44.282429,1.9964,7.8,0.9
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,349.917,5,35.0009,13.5475,26.2821,173.458,13.5973,41.701104,1.8883,0.51,0.003
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,350.564,5,35.2043,14.8636,26.1595,172.195,14.9169,43.214649,1.9175,0.67,0.033
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,350.768,14,35.2518,15.8776,25.9694,155.647,15.9333,44.275103,1.8075,0.5,0.003
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,350.993,13,35.0675,14.6254,26.1057,171.217,14.678,42.829987,1.9003,0.279,0.008
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,351.065,5,35.0742,15.0102,26.0269,154.259,15.0639,43.216903,1.7725,0.29,0.007
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,351.18,13,34.9727,13.9799,26.1703,165.232,14.031,42.09405,1.833,0.25,0.004
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,351.199,5,35.3581,15.8898,26.0484,178.695,15.9457,44.406721,2.0018,0.35,0.005
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,352.286,5,35.3636,16.6393,25.8789,170.953,16.6971,45.16551,1.9603,0.58,0.001
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,352.348,5,35.2085,14.8371,26.1685,173.961,14.8906,43.194053,1.9316,0.88,0.006
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,353.666,5,35.1411,14.3054,26.2314,177.059,14.3577,42.596607,1.9395,0.42,0.024
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,354.978,5,35.2966,16.0756,25.9585,168.925,16.1325,44.52586,1.9242,0.37,0.007
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,395.077,4,35.014,13.0097,26.4019,180.723,13.0646,41.217366,1.9222,1.9,0.021
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,399.943,4,34.8557,13.016,26.2779,142.905,13.0715,41.059461,1.6218,0.26,0.04
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,400.249,4,35.0388,13.5396,26.3131,177.619,13.5967,41.762945,1.9121,1.55,0.013
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,400.382,4,35.1298,13.9099,26.3064,179.296,13.9681,42.222952,1.9382,0.44,0.0033
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,400.725,4,34.8589,12.0177,26.4761,177.491,12.0705,40.099951,1.8643,0.47,0.002
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,400.828,4,35.0473,13.1149,26.4064,175.724,13.1709,41.35811,1.8849,0.6,0.012
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,400.923,12,34.7682,11.8913,26.4298,170.614,11.9437,39.885469,1.8072,0.84,0.01
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,401.191,12,34.85,12.5248,26.371,171.311,12.5792,40.579423,1.8321,0.409,0.017
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,401.269,4,35.1086,13.2739,26.4216,181.047,13.3305,41.578232,1.9324,0.85,0.042
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,401.306,4,35.1334,14.3393,26.2182,176.263,14.3989,42.649574,1.9255,0.41,0.005
